"coreshop_omnipay","Omnipay"
"coreshop_omnipay_settings","Einstellungen"
"coreshop_omnipay_provider","Provider"
"coreshop_omnipay_provider_add","Provider hinzufügen"
"coreshop_omnipay_remove","Entfernen"
"coreshop_omnipay_remove_provider","Diesen Provider wirklich entfernen?"
"coreshop_condition_postFinanceCheckOrderState","Postfinance: Bestellstatus autorisiert"
